delivery_time,tracking_nos,tinh_nhan,tinh_phat,tg_quydinh,ngay_gui_bp,time_pcp,tg_chenhlechphat,ma_dv_viettel,ma_buucuc_goc,ma_buucuc_phat,ma_trangthai,ma_doitac,ma_khgui,tg_toantrinh,danhgia_time_gach_bp1,danhgia_time_gach_bp2,danhgia_time_gach_bp3,time_gach_bp,time_gach_bp2,time_gach_bp3,tg_ptc,tg_nhantai_bcp,trong_luong,Ten_File_Nguon,tuyen,tg_chenhlechphat_so,ngay_bat_dau_phai_phat,ngay_phat_cuoi_cung,PTC,PTC_1,danh_gia_giao_hang
8/1/2026,VTPVN9045629906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9049750419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9044110712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9049200714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9049000714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9040352911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9043908008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9046489208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9041370219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9040369809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9042848510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9045153814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9042681316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9047370616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9042220120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9041091317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9044560515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9045040215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9049961220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9040292220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9045753820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2026,VTPVN9040234511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
