doi_tac,tinh,bưu_cục,ngay,san_luong
VTPVN,AGG,HBAGPHO,2026-08-14,40
VTPVN,TNH,HBTNTC,2026-08-14,203
VTPVN,CMU,HBCMNH,2026-08-14,160
VTPVN,TNH,LGHA,2026-08-13,110
VTPVN,BNH,DPC,2026-08-14,119
VTPVN,QNH,QNHVDO,2026-08-14,24
VTPVN,HNI,GLM,2026-08-13,59
VTPVN,TNN,HBTNDH,2026-08-15,73
VTPVN,GLI,HBBDTP,2026-08-15,140
VTPVN,DNI,HBDNXA,2026-08-14,84
VTPVN,HNI,TAHP,2026-08-14,34
VTPVN,LDG,MLM,2026-08-15,110
VTPVN,HCM,HAHP,2026-08-13,50
VTPVN,AGG,HBAGPT,2026-08-14,137
VTPVN,HCM,BHT,2026-08-13,98
VTPVN,DTP,TGGDHP,2026-08-15,102
VTPVN,HCM,QU8,2026-08-14,368
VTPVN,DNG,DNGBQY,2026-08-14,29
VTPVN,DLK,HBPYSC,2026-08-15,92
VTPVN,THA,THAKIEU,2026-08-14,30
VTPVN,KHA,PCH,2026-08-13,100
VTPVN,LDG,LDGTPU,2026-08-14,59
VTPVN,CTO,HBCTNK,2026-08-14,71
VTPVN,QNI,CUO,2026-08-14,34
VTPVN,DNI,TNBN,2026-08-15,52
VTPVN,NBH,NBH003,2026-08-14,25
VTPVN,HPG,HBHPKT,2026-08-15,87
VTPVN,AGG,HBKGGQ,2026-08-13,101
VTPVN,DNG,HBQNQS,2026-08-13,36
VTPVN,GLI,HBGLPT,2026-08-15,22
VTPVN,LDG,HBBTTG,2026-08-13,84
VTPVN,VLG,HBVLTB,2026-08-13,122
VTPVN,HCM,HONI,2026-08-15,297
VTPVN,HCM,HCM05,2026-08-13,118
VTPVN,VLG,VLG,2026-08-15,101
VTPVN,BNH,GPSN,2026-08-13,42
VTPVN,AGG,CMI,2026-08-14,111
VTPVN,CTO,HBSTTT,2026-08-13,70
VTPVN,VLG,HGVG,2026-08-15,83
VTPVN,DNI,PTH,2026-08-13,90
VTPVN,DNI,HBDNTN,2026-08-13,72
VTPVN,HCM,BAH,2026-08-13,101
VTPVN,HNI,QDG,2026-08-15,39
VTPVN,HCM,XTS,2026-08-14,55
VTPVN,BNH,BHDG,2026-08-15,30
VTPVN,NBH,HBNDND,2026-08-14,70
VTPVN,HNI,HANM,2026-08-13,26
VTPVN,THA,HBTHVL,2026-08-15,27
VTPVN,KHA,NTNDHI,2026-08-13,60
VTPVN,THA,HTG,2026-08-14,18
VTPVN,HCM,TDM,2026-08-15,76
VTPVN,HCM,BTDA,2026-08-13,94
VTPVN,HCM,HBBDDT,2026-08-14,174
VTPVN,HCM,HBVTDD,2026-08-15,102
VTPVN,HCM,LGT,2026-08-15,62
VTPVN,HNI,TNLH,2026-08-15,39
VTPVN,THA,THA,2026-08-14,42
VTPVN,KHA,MCA,2026-08-15,30
VTPVN,QNI,HBQNDP,2026-08-14,58
VTPVN,AGG,HBKGAB,2026-08-14,157
VTPVN,HNI,SSNMPU,2026-08-15,39
VTPVN,PHO,HBPTYL,2026-08-15,49
VTPVN,QNH,HBQNPH,2026-08-13,60
VTPVN,HNI,COVN,2026-08-14,24
VTPVN,HYN,VNL,2026-08-13,20
VTPVN,HPG,HBHPTC,2026-08-14,33
VTPVN,TQG,HBTQTQ,2026-08-13,35
VTPVN,HYN,HBHYKD,2026-08-14,26
VTPVN,LDG,HBDKDM,2026-08-13,54
VTPVN,LCU,HBLCDK,2026-08-13,48
VTPVN,THA,HBTHQX,2026-08-13,43
VTPVN,NAN,HBNADL,2026-08-15,41
VTPVN,HNI,GLMTQY,2026-08-14,28
VTPVN,HNI,CMYTDG,2026-08-14,28
VTPVN,NAN,HBNAYT,2026-08-17,25
VTPVN,HCM,HBHCTB,2026-08-17,649
VTPVN,PHO,HBVPTD,2026-08-18,49
VTPVN,HCM,BDM,2026-08-17,144
VTPVN,HCM,HCM01,2026-08-18,414
VTPVN,AGG,MBH,2026-08-17,109
VTPVN,DNI,HBDNNT,2026-08-17,131
VTPVN,TNH,TNDC,2026-08-18,209
VTPVN,LDG,HBDKDS,2026-08-18,42
VTPVN,TNN,HBTNSC,2026-08-18,44
VTPVN,DNG,HOT,2026-08-17,56
VTPVN,DLK,HBDLKK,2026-08-17,33
VTPVN,HCM,VTUCLH,2026-08-17,37
VTPVN,HNI,AKH,2026-08-17,72
VTPVN,DNI,DNITTN,2026-08-17,85
VTPVN,LDG,DKGDGG,2026-08-18,23
VTPVN,HCM,HBHCCG,2026-08-17,112
VTPVN,GLI,HBGLCO,2026-08-17,90
VTPVN,CTO,CIK,2026-08-17,36
VTPVN,HCM,LHG,2026-08-17,105
VTPVN,HYN,VIN,2026-08-17,61
VTPVN,LCI,CAN,2026-08-17,17
VTPVN,HCM,ANBH,2026-08-18,75
VTPVN,HPG,HBHPKA,2026-08-17,57
VTPVN,AGG,HBKGTH,2026-08-18,112
VTPVN,DLK,HBPYDX,2026-08-18,48
VTPVN,HNI,CCSN,2026-08-17,49
VTPVN,VLG,HBBTMB,2026-08-17,58
VTPVN,TNH,HBTNGD,2026-08-17,161
VTPVN,NBH,NBHHP,2026-08-18,25
VTPVN,HCM,HBHT01,2026-08-17,37
VTPVN,HCM,PUXN,2026-08-17,84
VTPVN,HPG,HBHDNS,2026-08-17,59
VTPVN,BNH,HBBGTY,2026-08-18,43
VTPVN,CTO,HBSTMX,2026-08-18,113
VTPVN,HPG,HBHPDS,2026-08-17,88
VTPVN,CMU,HBCMTH,2026-08-17,54
VTPVN,PHO,HBPTTS,2026-08-17,33
VTPVN,HCM,TNPCKH,2026-08-17,199
VTPVN,HCM,DOTH,2026-08-18,95
VTPVN,HCM,HBHCCC,2026-08-18,98
VTPVN,GLI,TMQ,2026-08-17,55
VTPVN,KHA,KHATNH,2026-08-18,74
VTPVN,NBH,HNMHH,2026-08-17,24
VTPVN,HCM,TQTY,2026-08-17,201
VTPVN,HCM,HCM12,2026-08-18,165
VTPVN,DNG,HBQNPN,2026-08-18,36
VTPVN,TNH,HBLAHT,2026-08-17,64
VTPVN,TQG,HBTQCH,2026-08-18,55
VTPVN,CBG,HBCBHQ,2026-08-17,19
VTPVN,HYN,HYNTLY,2026-08-18,17
VTPVN,NBH,HNMHH,2026-08-11,25
VTPVN,BNH,DKE,2026-08-11,43
VTPVN,HPG,ANDG,2026-08-09,37
VTPVN,HCM,TML,2026-08-09,41
VTPVN,HNI,NHP,2026-08-11,17
VTPVN,HCM,TQTY,2026-08-11,141
VTPVN,HNI,HBHNLN,2026-08-10,21
VTPVN,TNH,HBLAHT,2026-08-11,32
VTPVN,NAN,HBNAND,2026-08-10,14
VTPVN,HNI,HBHNTN,2026-08-11,26
VTPVN,CTO,CIK,2026-08-11,57
VTPVN,HCM,HBHCCG,2026-08-11,148
VTPVN,BNH,HBBNYP,2026-08-09,74
VTPVN,HCM,TTNI,2026-08-09,86
VTPVN,QTI,HBQBBD,2026-08-11,56
VTPVN,GLI,HBGLCO,2026-08-11,84
VTPVN,DNG,HBQNNT,2026-08-09,42
VTPVN,HNI,CCSN,2026-08-11,19
VTPVN,HCM,HBBDBC,2026-08-09,173
VTPVN,CMU,HBCMPT,2026-08-09,101
VTPVN,HTH,HBHTCX,2026-08-11,34
VTPVN,KHA,HBKHVG,2026-08-09,104
VTPVN,HCM,HBVTCD,2026-08-09,100
VTPVN,HUE,NGO,2026-08-09,33
VTPVN,HCM,HBHCGV,2026-08-09,719
VTPVN,HCM,HBHCTB,2026-08-11,403
VTPVN,AGG,LXN,2026-08-09,42
VTPVN,VLG,HBVLBT,2026-08-09,59
VTPVN,HCM,PUXN,2026-08-11,102
VTPVN,HCM,LHG,2026-08-11,106
VTPVN,DTP,HBTGCL,2026-08-09,82
VTPVN,HUE,HBHUHA,2026-08-09,37
VTPVN,HCM,QTG,2026-08-09,16
VTPVN,TNH,HBTNGD,2026-08-11,130
VTPVN,VLG,HBBTMB,2026-08-11,60
VTPVN,NBH,DVN,2026-08-09,18
VTPVN,HCM,HBBDTG,2026-08-10,37
VTPVN,LDG,HMK,2026-08-11,57
VTPVN,LDG,LCSN,2026-08-09,25
VTPVN,NBH,HBNDHT,2026-08-11,21
VTPVN,HPG,BHNH,2026-08-11,19
VTPVN,DNI,DNITTN,2026-08-11,105
VTPVN,DTP,HBDTTH,2026-08-10,23
VTPVN,PHO,HBPTTS,2026-08-11,31
VTPVN,BNH,HBBGLM,2026-08-11,62
VTPVN,CTO,HBCTAK,2026-08-10,20
VTPVN,DLK,HBDLKK,2026-08-11,30
VTPVN,HCM,TNPCKH,2026-08-11,190
VTPVN,DNI,HBDNNT,2026-08-11,101
VTPVN,HNI,AKH,2026-08-11,39
VTPVN,QNI,HBKTKP,2026-08-09,12
VTPVN,VLG,HBTVTN,2026-08-09,78
VTPVN,TNH,HBTNHT,2026-08-09,95
VTPVN,SLA,HBSLTC,2026-08-09,52
VTPVN,VLG,HBVLMT,2026-08-09,73
VTPVN,LCI,CAN,2026-08-11,13
VTPVN,LDG,HBLDBM,2026-08-10,14
VTPVN,GLI,TMQ,2026-08-11,56
VTPVN,QNH,HBQNHL,2026-08-10,23
VTPVN,HPG,HBHPDS,2026-08-11,29
VTPVN,CMU,HBCMTH,2026-08-11,37
VTPVN,HNI,TTITDN,2026-08-09,9
VTPVN,HNI,HN07,2026-08-09,53
VTPVN,CMU,HBBLLD,2026-08-10,11
VTPVN,AGG,MBH,2026-08-11,92
VTPVN,DNG,HOT,2026-08-11,46
VTPVN,HCM,BDM,2026-08-11,84
VTPVN,LDG,HBLDLH,2026-08-13,63
VTPVN,TQG,HBHGQB,2026-08-15,37
VTPVN,AGG,HBKGCT,2026-08-13,105
VTPVN,QNH,QNHCBH,2026-08-15,29
VTPVN,NBH,HBNDHH,2026-08-15,28
VTPVN,DBN,HBDBTG,2026-08-15,55
VTPVN,KHA,DNP,2026-08-15,32
VTPVN,HNI,GELEXC,2026-08-15,50
VTPVN,HPG,HBHPTV,2026-08-14,72
VTPVN,TNN,TNNYBH,2026-08-13,63
VTPVN,PHO,HBPTDH,2026-08-13,41
VTPVN,TNN,QTT,2026-08-15,68
VTPVN,HCM,HGV,2026-08-14,21
VTPVN,HPG,LEC,2026-08-15,26
VTPVN,GLI,BDHVC,2026-08-13,62
VTPVN,HCM,LHX,2026-08-15,29
VTPVN,LSN,HBLSLS,2026-08-14,51
VTPVN,PHO,HBPTPT,2026-08-14,46
VTPVN,HNI,HBHNBV,2026-08-15,20
VTPVN,THA,HBTHSS,2026-08-14,55
VTPVN,KHA,HBKHDK,2026-08-13,93
VTPVN,DNI,LTO,2026-08-15,126
VTPVN,HCM,SNE,2026-08-15,65
VTPVN,VLG,HBVLVL,2026-08-13,60
VTPVN,DNG,HBQNTH,2026-08-14,37
VTPVN,HCM,TSNI,2026-08-14,14
VTPVN,HNI,STYSDG,2026-08-14,40
VTPVN,CTO,NSHU,2026-08-14,70
VTPVN,HCM,HBHT02,2026-08-14,46
VTPVN,GLI,GLI,2026-08-14,38
VTPVN,NBH,HBNBTD,2026-08-14,38
VTPVN,HUE,ACU,2026-08-21,56
VTPVN,DNI,DNITTR,2026-08-19,21
VTPVN,HPG,HBHPAL,2026-08-21,34
VTPVN,VLG,BTE,2026-08-19,76
VTPVN,PHO,HBPTCK,2026-08-21,41
VTPVN,TNH,TNHTTC,2026-08-20,114
VTPVN,HNI,TAHTI,2026-08-21,2
VTPVN,HNI,BVIMQG,2026-08-19,20
VTPVN,HCM,BTH,2026-08-20,28
VTPVN,DLK,HBDLBT,2026-08-24,61
VTPVN,DTP,HBDTCL,2026-08-24,106
VTPVN,NAN,HBNACG,2026-08-23,77
VTPVN,DLK,HBDLCK,2026-08-24,71
VTPVN,DLK,HBPYDH,2026-08-23,62
VTPVN,HCM,CPHA,2026-08-22,144
VTPVN,PHO,HBVPVY,2026-08-23,30
VTPVN,NAN,MATH,2026-08-24,25
VTPVN,DTP,TGGLDH,2026-08-22,81
VTPVN,QNH,PHDG,2026-08-23,17
VTPVN,DTP,DTPHLG,2026-08-23,53
VTPVN,VLG,HBTVCK,2026-08-23,57
VTPVN,TQG,HBHGHG,2026-08-24,23
VTPVN,QNI,HBQNSH,2026-08-22,44
VTPVN,HUE,TNI,2026-08-24,27
VTPVN,PHO,XHA,2026-08-23,56
VTPVN,HCM,HBHCNB,2026-08-23,106
VTPVN,HNI,HBHNBG,2026-08-24,77
VTPVN,HCM,ADV,2026-08-24,20
VTPVN,HCM,QU6,2026-08-24,217
VTPVN,AGG,ANT,2026-08-22,97
VTPVN,HCM,PCLG,2026-08-23,44
VTPVN,HNI,HN08,2026-08-24,392
VTPVN,HNI,VNCH,2026-08-22,27
VTPVN,HCM,LMX,2026-08-24,131
VTPVN,PHO,HBPTTT,2026-08-23,35
VTPVN,DLK,HBDLTP,2026-08-24,65
VTPVN,VLG,GLG,2026-08-23,41
VTPVN,TNH,HBTNTH,2026-08-23,93
VTPVN,CTO,HBSTVC,2026-08-22,146
VTPVN,DTP,HBTGCT,2026-08-24,98
VTPVN,HNI,TMTH,2026-08-24,196
VTPVN,AGG,HBAGTT,2026-08-23,141
VTPVN,NBH,HNMNT,2026-08-24,27
VTPVN,HYN,HYNVTN,2026-08-24,38
VTPVN,HNI,NAT,2026-08-23,30
VTPVN,HNI,XNKH,2026-08-22,29
VTPVN,PHO,HBHBCP,2026-08-23,25
VTPVN,PHO,HBPTVT,2026-08-23,31
VTPVN,HCM,VTU,2026-08-23,68
VTPVN,HNI,HBHNBL,2026-08-22,89
VTPVN,HNI,PLA,2026-08-22,2
VTPVN,TNH,HBLATT,2026-08-22,110
VTPVN,DTP,HBDTTB,2026-08-24,100
VTPVN,TNH,HBLATG,2026-08-24,53
VTPVN,TNH,HBLAKT,2026-08-22,102
VTPVN,DTP,HBDTSD,2026-08-23,93
VTPVN,CMU,HBBLVL,2026-08-23,52
VTPVN,TNN,TACG,2026-08-24,8
VTPVN,DNI,HBBPPL,2026-08-22,168
VTPVN,DNI,HBBPHQ,2026-08-24,70
VTPVN,NAN,HBNATD,2026-08-22,24
VTPVN,CMU,HBCMDD,2026-08-23,80
VTPVN,DLK,PYNHVG,2026-08-24,50
VTPVN,HPG,HBHDTM,2026-08-24,66
VTPVN,HCM,HITH,2026-08-24,52
VTPVN,HCM,ANHN,2026-08-24,35
VTPVN,KHA,HBKHVN,2026-08-22,73
VTPVN,AGG,HBKGVT,2026-08-24,92
VTPVN,HCM,HBHCTQ,2026-08-24,112
VTPVN,HCM,TTH,2026-08-24,66
VTPVN,TQG,HBHGBQ,2026-08-24,28
VTPVN,CTO,HGPHU,2026-08-23,57
VTPVN,HCM,TYHA,2026-08-22,45
VTPVN,SLA,HBSLYC,2026-08-24,33
VTPVN,QTI,HBQTCL,2026-08-26,32
VTPVN,HCM,QU6,2026-08-27,185
VTPVN,LCI,HBLCTB,2026-08-26,33
VTPVN,LCI,HBLCVO,2026-08-26,19
VTPVN,HNI,PTOTDA,2026-08-26,24
VTPVN,TNH,HBLADE,2026-08-26,77
VTPVN,HYN,HYNVTN,2026-08-27,17
VTPVN,AGG,HBKGRG,2026-08-26,151
